LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BRA,TRUSTGOV,TOT,PC,A,2018,20,
CHL,TRUSTGOV,TOT,PC,A,2015,33.7,
CHL,TRUSTGOV,TOT,PC,A,2016,26.7,
CHL,TRUSTGOV,TOT,PC,A,2017,26.7,
CHL,TRUSTGOV,TOT,PC,A,2018,26.7,
COL,TRUSTGOV,TOT,PC,A,2015,28.7,
COL,TRUSTGOV,TOT,PC,A,2016,25,
COL,TRUSTGOV,TOT,PC,A,2017,25,
COL,TRUSTGOV,TOT,PC,A,2018,25,
CRI,TRUSTGOV,TOT,PC,A,2015,30.7,
CRI,TRUSTGOV,TOT,PC,A,2016,39,
CRI,TRUSTGOV,TOT,PC,A,2017,39,
CRI,TRUSTGOV,TOT,PC,A,2018,39,
EST,TRUSTGOV,TOT,PC,A,2015,33.7,
EST,TRUSTGOV,TOT,PC,A,2016,39,
EST,TRUSTGOV,TOT,PC,A,2017,39,
EST,TRUSTGOV,TOT,PC,A,2018,39,
ISR,TRUSTGOV,TOT,PC,A,2015,43.3,
ISR,TRUSTGOV,TOT,PC,A,2016,41.7,
ISR,TRUSTGOV,TOT,PC,A,2017,41.7,
ISR,TRUSTGOV,TOT,PC,A,2018,41.7,
LVA,TRUSTGOV,TOT,PC,A,2015,25.3,
LVA,TRUSTGOV,TOT,PC,A,2016,26,
LVA,TRUSTGOV,TOT,PC,A,2017,26,
LVA,TRUSTGOV,TOT,PC,A,2018,26,
LTU,TRUSTGOV,TOT,PC,A,2015,36.3,
LTU,TRUSTGOV,TOT,PC,A,2016,30.7,
LTU,TRUSTGOV,TOT,PC,A,2017,30.7,
LTU,TRUSTGOV,TOT,PC,A,2018,30.7,
RUS,TRUSTGOV,TOT,PC,A,2015,56,
RUS,TRUSTGOV,TOT,PC,A,2016,53.3,
RUS,TRUSTGOV,TOT,PC,A,2017,53.3,
RUS,TRUSTGOV,TOT,PC,A,2018,53.3,
SVN,TRUSTGOV,TOT,PC,A,2015,18,
SVN,TRUSTGOV,TOT,PC,A,2016,24.3,
SVN,TRUSTGOV,TOT,PC,A,2017,24.3,
SVN,TRUSTGOV,TOT,PC,A,2018,24.3,
ZAF,TRUSTGOV,TOT,PC,A,2015,52.7,
ZAF,TRUSTGOV,TOT,PC,A,2016,47.3,
ZAF,TRUSTGOV,TOT,PC,A,2017,47.3,
ZAF,TRUSTGOV,TOT,PC,A,2018,47.3,
